Longitude (Deg),Velocity Components (km/s): vx,Altitude (km),Date/Time - Peak Brightness (UT),Calculated Total Impact Energy (kt),Velocity Components (km/s): vy,Latitude (Deg),Velocity Components (km/s): vz,Velocity (km/s),Total Radiated Energy (J)
-29.2,3,38,1258807980.0,18,-17,-22.0,-27,32.1,10000000000000
-28.8,-10.7,36,1420771271.0,0.41,-7.6,2.0,11.6,,139000000000
176.2,14.4,44,1400215368.0,0.82,4.6,-44.2,6.5,,309000000000
-132.6,-2.3,22.2,1408746581.0,7.6,5.7,-61.7,16.5,16.2,3820000000000
-144.9,11.5,26.3,1418338091.0,0.11,-2.8,33.5,-2.2,,33000000000
172.2,,,1406590687.0,0.23,,-49.2,,,73000000000
-138.4,,28.9,1370098188.0,0.12,,-65.6,,,34000000000
11.2,-28.2,39,1424150390.0,0.11,3.4,-8.0,4.6,,33000000000
66.3,,39,1413526056.0,0.23,,-4.6,,,72000000000
165.1,2.3,23.5,1386443409.0,0.2,2.5,32.8,-11.3,,64000000000
150.0,,,1409924246.0,0.12,,22.7,,,35000000000
122.4,,42,1424832804.0,0.19,,12.4,,,58000000000
-115.8,-7.2,22.2,1415103210.0,0.45,-12.1,43.1,-7.7,,156000000000
178.5,,37,1374809546.0,0.073,,21.0,,,20000000000
-158.0,18,26,1293290640.0,33,-2,38.0,-4,18.1,20000000000000
-26.9,-35.4,45.5,1420563959.0,0.4,1.8,45.7,-4.4,,136000000000
64.6,,,1359070818.0,6.9,,60.3,,,3400000000000
45.4,,,1409166465.0,0.12,,3.2,,,34000000000
-141.8,,29.6,1389725179.0,0.41,,-18.5,,,140000000000
-2.0,-1.1,34.3,1387758657.0,0.43,11.4,39.5,-9.9,,147000000000
24.0,-7,37,1416994816.0,0.32,16.1,-68.2,9.4,,105000000000
111.8,,30.5,1395111757.0,1.3,,0.0,,,540000000000
94.9,,,1393830021.0,0.29,,-29.0,,,94000000000
-61.1,12.8,23.3,1360869633.0,440,-13.3,54.8,-2.4,18.6,375000000000000
-121.5,10,30.7,1396071941.0,0.13,-12.7,-28.7,2.2,,39000000000
-120.6,14,19.1,1254941820.0,33,-16,-4.2,-6,19.2,20000000000000
-141.2,12,26.3,1403894407.0,0.67,3.5,18.9,-10.5,12.4,245000000000
132.9,,,1413888937.0,0.12,,22.2,,,34000000000
25.0,-8,22.2,1381565205.0,3.5,8.4,-19.1,-5.5,,1610000000000
-35.3,-5,59.3,1384969835.0,0.23,-11,44.7,-2.7,,75000000000
115.9,,,1406574463.0,0.17,,-33.9,,,53000000000
-17.1,,26,1363055579.0,0.1,,-32.7,,,29000000000
73.4,,38,1417061572.0,0.18,,-18.8,,,55000000000
61.5,,,1392699044.0,0.092,,-32.8,,,26000000000
-137.1,17.7,29.1,1375213814.0,0.22,-2.3,-31.8,-0.1,,69000000000
149.0,5.6,33.7,1424959584.0,0.53,-2.3,68.0,-20.2,,188000000000
-96.3,,26.3,1418131158.0,0.24,,76.6,,,78000000000
-118.2,,66.6,1376302082.0,0.15,,-34.4,,,44000000000
49.2,,,1420795907.0,0.079,,-23.3,,,22000000000
-88.1,7.8,39.8,1425414605.0,0.18,-16,-15.9,-2.5,,55000000000
155.6,,36.1,1357931061.0,0.16,,-15.1,,,48000000000
110.7,,25,1392245262.0,1.5,,13.3,,,630000000000
-90.2,15.9,25.6,1375123018.0,1,-8.6,-50.2,5.1,,390000000000
164.7,,40.7,1380007876.0,0.46,,-10.3,,,160000000000
30.7,1,21.2,1367282438.0,10,9,35.5,-8,,5110000000000
-156.2,16,26.5,1374885036.0,0.36,14.9,0.3,-3.3,,120000000000
49.9,,,1409325339.0,0.092,,-6.2,,,26000000000
95.9,2.9,30.8,1400241988.0,0.4,13.4,-39.4,-12.5,18,136000000000
38.8,-11,,1361337187.0,0.1,-8,-23.0,-1,,32000000000
-147.6,-3.4,18.7,1389171934.0,0.11,-43.5,-1.3,-10.3,,31000000000
-87.3,-2,35.4,1399549357.0,2.4,-16.1,-36.9,9.9,,1050000000000
64.6,5,40.7,1366496592.0,2.5,14,-28.1,1,,1070000000000
162.1,15.3,30.7,1418410432.0,0.15,-13.3,86.7,-7.8,,44000000000
-137.2,,32.5,1410260146.0,0.098,,3.2,,,28000000000
179.7,21.3,23.3,1417015011.0,0.35,2.2,-69.5,13.4,,118000000000
118.6,,,1425759988.0,0.073,,-39.1,,,20000000000
-140.0,4.5,38.1,1420177159.0,0.073,-14.4,-31.1,-10,,20000000000
-119.1,5.5,35.2,1426025939.0,0.23,-10.5,8.0,-16,,72000000000
-93.4,7,28.5,1403733281.0,0.2,2.9,-71.5,8.3,,61000000000
-85.7,,,1412596935.0,0.13,,-43.7,,,39000000000
-64.4,-5.2,37,1389513648.0,0.24,-15.1,2.9,2.6,,78000000000
172.7,0.4,26.1,1417146438.0,1.7,-1.4,-45.8,13.3,,700000000000
-119.2,15,27.2,1413253503.0,0.1,-6.9,-2.0,-3.5,,29000000000
131.1,,28.7,1401297156.0,0.19,,21.9,,,58000000000
158.6,,,1360213944.0,0.21,,-18.8,,,65000000000
-76.4,,,1368544821.0,0.073,,-3.0,,,20000000000
21.9,-2.4,,1349275812.0,0.75,5.5,-41.5,15.9,,280000000000
83.6,,,1356823535.0,0.55,,17.3,,,198000000000
-159.3,,50,1426608290.0,0.36,,-5.4,,,121000000000
111.9,1.4,35,1349167118.0,1.2,15.3,-8.1,1,,470000000000
-73.7,,,1348782252.0,0.13,,-6.9,,,38000000000
36.2,,,1337916684.0,0.19,,-41.8,,,60000000000
-29.6,-12.2,33.3,1353415051.0,0.089,-5.3,2.5,5.3,,25000000000
86.0,,,1353363911.0,0.36,,-8.0,,,120000000000
-49.6,-2.3,29.3,1350635182.0,0.082,-3.9,-75.4,12.4,,23000000000
5.5,-13.7,33.1,1427722432.0,0.2,-1.7,-36.1,0.8,,64000000000
84.6,3.4,27.8,1349715295.0,0.58,12,51.2,5.1,,210000000000
111.7,-10.2,23.8,1347210212.0,0.082,-5.2,-69.8,12.4,,23000000000
-51.5,8,36.3,1428437191.0,0.49,-15.6,-25.5,-7.9,,173000000000
-64.2,-8,38.7,1346021863.0,0.22,-23.7,-18.3,-14.5,,68000000000
-117.0,5,36,1345964147.0,0.68,-11.6,11.8,-0.7,,249000000000
52.2,-1.9,28.1,1347968079.0,0.67,14.1,1.2,-11.5,,244000000000
157.9,,,1427996378.0,0.14,,8.4,,,42000000000
-105.2,,,1347372450.0,0.17,,-18.9,,,52000000000
174.8,,,1334995703.0,0.42,,-15.8,,,143000000000
-139.1,12.2,26.7,1430360461.0,0.32,-4.2,-48.7,0.9,,105000000000
-172.3,,27.2,1343333990.0,0.12,,63.1,,,34000000000
10.6,,,1336139689.0,0.63,,76.7,,,229000000000
-107.4,,25.2,1335189670.0,0.15,,36.2,,,44000000000
-41.5,0.8,26.8,1343173700.0,0.39,2,36.4,-18.4,,133000000000
39.6,-15.3,37.4,1429551771.0,0.27,12.8,37.7,7.4,,88000000000
135.5,-0.8,33.3,1337051057.0,0.39,1.1,-61.8,17,,132000000000
